address, amount staked, amount to refund 
kujira19ge7twmxj2lk5t8fm3cxsns6wnr2afm7h32e4y, 100, XXX
kujira1dshc4zrnnha23eslf8uk9dpwur6z5n9rdk4htg, 4, XXX
kujira10xlnv3kvwuvs257xjk284hv5lm2489cdm8hvka, 559, XXX
kujira1c3vjrtuut50fqk4vgu28mt6zkpy05d8959thkv, 99, XXX
kujira17xlvkaj69qnlnp8ny53hlapxxgmfseutmem5a4, 1, XXX
kujira1k5yq0a30l0nrllz77m5prv8k6g3wjvgrynem8h, 99, XXX
kujira1ke8f0eupmrgznxljvjxc48h03dee3qzafn3z63, 1, XXX
kujira193f29pj2n8zypqxnqryepakue5s0s4h3gesync, 101, XXX
kujira1f7xzzr6alstzarvz9vs6zru7x8n3a77gfvs5ue, 1, XXX
kujira1zamxtxdrme0ygxztwfw8lclphem7jzp87879nt, 1, XXX
kujira1lnufudemeccdhq3vse03sgsngajayxl5e305g7, 1, XXX
kujira1h73qxxw84x8tumyxv4v4qealrc3pf6zgy2d08j, 102, XXX
kujira1ap6uxvxqer25y5ev0ce0syqlnmyy45yuhfu8xc, 99, XXX
kujira1t8urf6gcp2a9f5ua3grdrgva9ayravfcvgtgx6, 100, XXX
kujira1hxd0wh7dq6zzqkwjldj7uucsfvmx2eurgzy44h, 53, XXX
kujira1ce3uxwdn86anrwzq89t4ugvrtzu0a53cgwmhze, 99, XXX
kujira1wtejh0atnldeccakvxwu9ds9ulz7gpwucqjkfp, 49, XXX
kujira1earj5var2j49jnqhtdfk9w3h23gxce7pef2nsc, 1, XXX
kujira1eh8cxa8wkffr6ysnp0pr26zst3hffm7ddermmh, 2, XXX
kujira1taz839zt2f8pyhc6jmvrfm76ejfe0sf84k25jj, 100, XXX
kujira1png62glqssrdcjw7fzhq3cnalwr7nd6xa2ys6g, 1, XXX
kujira1fr4yerwpeml83ktxsk82nhdq4wfrqp4upt2nyl, 299, XXX
kujira1dfywue262w87kynwmpyv8k5d37r92lue850j6t, 3, XXX
kujira1s62zzaunhyy2htfm0mjpuyzvqccpe2hrzvzy4x, 99, XXX
kujira14yv8mex3zlpy5u44fz6x6wgq76mexg30zugfut, 100, XXX
kujira1k0nf3fu5xv7uh4uenr2r8jg5s90ucg68dfg74w, 99, XXX
kujira1rzs086qcmxyqq5422ar7h90rc9lj0xuqjkh7k0, 61, XXX
kujira10u8c8kemnmp6smxqak40dhsf2z3uuyrarazcam, 99, XXX
kujira1n93esxf3her0vszqzyskq5lp763qhs3d5v6pus, 100, XXX
kujira1mj9s4ny53vxxsxxtquqq4xl8y9dqsfjevmy4l2, 1, XXX
kujira1tnyrxmdk6jtw8vqsq74z8t8y562mgcf7qahj2l, 100, XXX
kujira1uw3nsdcz3cj720p5zwggaxzy0zleuew86eczwk, 1, XXX
kujira10296ruaku83wvwsnc9mc6q5gdwwvpjyfsfekey, 3, XXX
kujira1a0c9nqs7hkez3zs326g9actwu6m7mcfn0ecqah, 488, XXX
kujira1let0chav99tpgt0fmecpjc9qhqztu7xyrq55cx, 99, XXX
kujira17v0tjpysnyy2e0lyxd7cezzq8vu2v26qye3dd8, 67, XXX
kujira16a5k7je4afcv9dmqmz8cawd6mple2etm0ktlwd, 3, XXX
kujira1628nq7a4e94gw9xcczvc3mzyg7vqw4vs9uehnq, 109, XXX
kujira165fwxhyjkym6z9drs5ku7dfc2ehmzzeww8g9lr, 2220, XXX
kujira18g2nswmcsyu46qva3y648q6d9m3wwzg7kk7fpc, 53, XXX
kujira166kfwxqahaf28lxephdkjqeryh9xwnksptd2fc, 44, XXX
kujira1lgn5qcjqu4xrpzr6kdxhsfj5qmf4fj4anwgjak, 1, XXX
kujira1fcyx5r3sprndzr93plajx9geye7aht7yytcrxv, 1, XXX
kujira1ylrxycz88kdt96tqgaj9l2dtt2nzj9s2p2gsa5, 1, XXX
kujira1c0q7xhs8l769c37ygxeyhj6m9yj4j9yz9jgq98, 2, XXX
kujira18uz29uf7l2frqxzdzk5hcwhte90yjnrnfs0c3g, 8, XXX
kujira1fvnmyse09rest7g3zv2dkcxy9asftf3qecxth9, 100, XXX
kujira19wjtcyd9lytj5pge2e3jj2t6nknc47lqgxcwtf, 65, XXX
kujira1l3t6wvs8wluqt2agdfl6ja0mnrncl9wrvh4me3, 50, XXX
kujira1a9crn83zwq9p65ka5606uhtzrqj5lz22q9x4my, 500, XXX
kujira1fz3n5x4hxf2y35xgxgzq3f76mx0cjv7mgh340r, 2, XXX
kujira1p8sxus9tn3gnt90sdnw5d6xtmxvl4um3l5yn8t, 499, XXX
kujira1tdlcev8329gnllv7n60fxsm55jmxeta53dm8du, 100, XXX
kujira1f0df5hdu5rn947kz7t2ekdm3n8nsr0gks5afrx, 1, XXX
kujira1gz8vgplztfvewdf2kj6m3m4g0mulqlq2qlzaca, 99, XXX
kujira12lzvcacrthkmx33dkxfce9pffnuazz5edralfy, 101, XXX
kujira1jlansk5dzdps0yzm75vry070ugfarkqdwm46nm, 99, XXX
kujira1g77audfs0zj9qk79qsux5zhqyrqswpwgy4ymuq, 14, XXX
kujira1a86h502rpxlns52z987wj337zvyenjsz3yru93, 101, XXX
kujira1zzvexxhprnr33plhwrxvqr5l7wrhmm3rg6472y, 19, XXX
kujira17gl6er5798z79ckqv99kz8an2dryl5n5y95uk2, 9, XXX
kujira1keyf5w20uwzua3f44ekues05ru2zpjj23dxf8u, 197, XXX
kujira18sz50u30vfpf7lzdax3grekyn6snq0ucn45wqk, 104, XXX
kujira1mctg2atv92ru474l7qzjmkpqh35sfgctprt486, 9, XXX
kujira1uzw7ly99nafkfha7lfl7d422229gleca78vxv5, 13, XXX
kujira1jk940yh5hj3ctq6wk90wsrnjezrveqtstrx3yd, 2, XXX
kujira16h76kkdk980kedhvyqt86lnuz7cn3mtxlpwnka, 22, XXX
kujira10qymecrjmsctxs0jgf9jr3d2fxltyctk6646ff, 101, XXX
kujira18fl5chxs3fva0p9cgqg0dyxgplx8k32qz3xtmu, 99, XXX
kujira1m7fp3yd2r5h2u4uu02m6nstceranss8vtyt3d7, 105, XXX
kujira169se4awcc40mgfwnxt6k0rjkgzv9m9y0uqs3k7, 100, XXX
kujira1tngsl3htr8ltdtcqmjv05207tsvesezk0n9v2u, 99, XXX
kujira1zdap4hxc3accq5lfj04ey4wed3up0235r06tue, 100, XXX
kujira1rp3cfrq55t9qc2p8p3z5mzuy8khtafrwke0hl2, 3, XXX
kujira155823yhw5pgx5etgrz9axq2mv56tyxkr8g4url, 1, XXX
kujira1nlvm2gudupe3u4fcgav4w6a7mhrsdjxnvnkmsw, 381, XXX
kujira1shmytvj3rsmyyajwyx6s08wclvsg3mlyxv3agd, 143, XXX
kujira1mmypslwldzvxnl3kn276h0eg77py7sq95k7kwf, 1, XXX
kujira14jxz7vdsx4r4zgc7jc23lfvna6y9rmezwlpexn, 102, XXX
kujira18uzds4tw8mrpulwqdz4m32f32wy6v48kfuzyzm, 6, XXX
kujira1jxajys5atelv6afuxrjw8afxtyhyduczcwzx4a, 5, XXX
kujira1cdujgx8hceseukzcdjcp7tjcpr8594lrgsa776, 16, XXX
kujira13w0e0k7vhuzlcxcmfy0rct0ce86lcjwwcj8v05, 154, XXX
kujira1ygvm6wdxv4zgpkhurqaddlvtwherryvm34y6dz, 99, XXX
kujira1hzgupqnj2w0333rpr2wv3fhn4jstv8nwtwscv2, 9, XXX
kujira1dx47lkkf48plqwwcajsnlx2swgvnkmtjqsy93v, 4, XXX
kujira1uz07k6e0txmv3agfczp4yqm7zsl32fkwj6u5v5, 100, XXX
kujira1arxvf7xvveqh38qxqch59m8kqxccr3274gnnus, 46, XXX
kujira1s7vsuggwnpmk32j5kpyn0uq8t0ef26s4yhn7z0, 1, XXX
kujira1tmtwh7lddse4qt6lpk4d8ze3av4wkw7nkvmdh5, 104, XXX
kujira10ujj0xx8fcqwsnrfkprjnhvu4g2x230utknykv, 101, XXX
kujira13q7zpu2lz2pnkmz4zl4xukr0ljsnqgwm0rt2jf, 27, XXX
kujira1d7mw9l7cjynmhzf0n9pflzs92qvfws3umnctyq, 100, XXX
kujira19nl36qmc0rfl6dyxzgnhg2rsuf74vdpux98us7, 5, XXX
kujira1l5wc57dhjham2qrugkp6rmruymjueuywsp95pv, 112, XXX
kujira1hqhqn4q058fndsw7nnd4kll08uex08lr3jnfgu, 100, XXX
kujira1je9h09ll9aqrh8345makhsnk7fa2n96exw6xzu, 99, XXX
kujira1mpulczzd2hn9x0tc65x6gdpr7rml8rlcst8x5g, 102, XXX
kujira1ljrtv39yf4jqch90l682quj0tal7khv4hxhlfl, 2, XXX
kujira1s7rnu4uyd9evg7qfkw3d223w8mx9v00wul9z04, 3, XXX
kujira13jryjprtxvny9ka0zmv4qv478p0a7chja4e5fq, 13, XXX
kujira1u7xwld7jrsj3dh8a7chezj8nj2ac36e8un6zs8, 3, XXX
kujira1arl3wnskvm5xh4vaev6g94fy9ty8xlu7kesq57, 1, XXX
kujira16hmvxnw99ay5r8qlz5njxk5nl7g3msjl6z7da2, 199, XXX
kujira1w40scum8rehyck89wda07sv6wnvuyuyqxdmknc, 101, XXX
kujira1tqfv625p6ygm768nt4yja7c4v7hfgr3ejv8z9j, 3, XXX
kujira1uhc2jpk7z4mlgt9u7xpf2vgleupf3ehwk2lkl4, 99, XXX
kujira1vewrtkcatncl5qgt9djtcn0j28ukqjlnz0m2fc, 99, XXX
kujira1pl0y0dgcewxak86h8pte0pe75urgdxmpcxv0vr, 90, XXX
kujira14twa40uu8sskuyw9d8gg4mluk9s8lyjwfmedx6, 199, XXX
kujira1ns5ehf9khxg7yhe936hp7450p46hl0t0y9lxzz, 199, XXX
kujira140trtqrdd0jdmnmfx8zpnx2zsrcuc5xmd8rpt4, 49, XXX
kujira18t6l5m0vs5995h9mr9ngkh8vvq7aq3ahncjy0r, 14, XXX
kujira172fm5dvkkj0f90s6fjfqrtvq90wc22u8wamvgz, 6, XXX
kujira1v7w4fs3eq63vfn5xqqh04pzuesj44u9epdplc7, 100, XXX
kujira19gcza5dmm9dsrm8qquts5vhfhm3y2c7yz8z2lq, 99, XXX
kujira190uhw92ecjglxdja0u9q4k3rhctazj40hqu0kl, 100, XXX
kujira1323uenwvychnv4gplx9895w43tcd66luazd4zs, 100, XXX
kujira1dkvm2v3md93q847d8j2els6gv43cvatq7f7lpt, 207, XXX
kujira1e2qur2pmzn5jtderg3p7hwck53ert72t4kd73e, 22, XXX
kujira1z4gerx35mp9q8dktajrwm9snc2unxn0306f2n3, 1, XXX
kujira1rgrda50pc3xuj9sn5uqppr0v0ec84dl9ervcg8, 99, XXX
kujira1t7g39k46vtlwtjr8uw2r9tsjdhqksw2e9pvc72, 134, XXX
kujira16n6klgn79dvey5mc5k73tvtm9nn58r779ralhl, 100, XXX
kujira1024uzh99xharpytf2qhwvl6aqt2pzc3kqn9uqd, 18, XXX
kujira122rargcl5j60kka0yyj6e0jemvvm0m77pysrr8, 99, XXX
kujira130grss6q59fgcwtalt799tjl68cgqtywc3v6xe, 5, XXX
kujira1fj3h3c5ncu6qphm3an6y92ulre2eg27u340ngj, 100, XXX
kujira162uqd7ftahyq7qmpp0mzluvsrym9tumqzrwsna, 102, XXX
kujira1txuk4jv85e9pefypeee02x3ulckkeqlfhuhe7j, 102, XXX
kujira1y7v7rvmehpy0n4wrg0r6e078yz56ykrrgwpkxv, 109, XXX
kujira1ec74zmrcudhhjrkutmtu7vqgutfwwq4n2r29gp, 3, XXX
kujira1v5740e4eseyy2ssp0vc44nrr202e7pg6tjnue3, 204, XXX
kujira1d7hrkck0sc5urna3ljeez7wfhmcxrdcap88ass, 1, XXX
kujira1ruuh8t8fy0hs98pnas7ercpmxmn7ecyg8hqsj2, 2, XXX
kujira1jx03zpuvulr30sqvnvt7c8r5j9ktcxzp0tnswc, 101, XXX
kujira1dfgprf29u0s0q0fe8r6t2t27ha2x9qrrvnzmjn, 219, XXX
kujira1yp97lt0y483gv5m6f7kdu7x2arv8ka6hwveshn, 1, XXX
kujira10ncrxrl9l9qhpqvvhr7sf4wwclp54fe6k87afe, 2, XXX
kujira1lerh07fgshw98r3w3drvkjcykpp54p623s4het, 99, XXX
kujira15k2w65uy25pwy9hn5ud59v8qz6m6f58hvu8dv4, 1, XXX
kujira1q2p5tlpk3uyymrv5lxhkujtczxxwmt9kklh8sq, 1, XXX
kujira1t9e2s4cftjkqx282egju63fqw8f952kd2s365k, 13, XXX
kujira10ta3ax72t08herf8jcgy48a9m74dyf8g89kxqy, 3, XXX
kujira1d5wglva0dllzgvlqqe0gzu4fu7gx3rlgrvncwp, 1, XXX
kujira17nun6cg7a5xtu9fz2p8scxr7u9jmrf5vaupx6x, 100, XXX
kujira1dztt7wn6tvyg2j9flse79x9q6ggdfl4fw4pe9n, 2, XXX
kujira1pud6hgk29pf25edmvke2h2u29dc659lxs4mvc7, 4, XXX
kujira1sxy93x0m6kcjt42ljlahph2gcgw4sptwg97d4y, 2, XXX
kujira1v4wu3grj6qrg2fp3antf8f4hd348adtm73l3v0, 102, XXX
kujira1d7sw0t3nyajddyjtvwargqkypqx0yumdch45f3, 99, XXX
kujira1uxjcuvz68athf29as6478rtwraerwfdhy835e8, 9, XXX
kujira1syu95rss3auvee24p8rsg422xr5cpu8ek9c989, 99, XXX
kujira18n4d0gcr0a7ppxj0huw9ptn8qws54353u77qrw, 4, XXX
kujira1m7glw5w5tamprdx5h5rkge2jsjlpm70dglcwqp, 7, XXX
kujira1zsa9a4n3qe2w4grekvemhlrvt56vr53put4tg4, 43, XXX
kujira1yglvl5wq7szkpvvya8cy4pehqntda450wath6u, 2, XXX
kujira107n5mm03l4h6vzvxl5a8c0ly5gucekhtp9qyz5, 103, XXX
kujira1nnn0wzerhlq4kyvsya0zqcvx47ylqmdmt7mf38, 99, XXX
kujira1hdv7rd9rk787dnwk9z2z6xct00t4h7a8j7r3y6, 100, XXX
kujira1nq6fudv4p5cpn40ywxpyk2eqp9nq0ncd8ewahn, 13, XXX
kujira1pfgwx92f02aqdvmaca8kvj6jl0wf6wvze2fknl, 2, XXX
kujira1mdahnqzpttsmau2hwfx426umaeqmx4hmd0suw7, 19, XXX
kujira1n6v7edxxrxjl3hk5gmdennzuuykt3d393pu0sk, 99, XXX
kujira18ucesam4gdvuu37a5vhgwjnqzl5dfvd73hm938, 101, XXX
kujira1ue5e5v2wsmkxr87hzlp2h3zkz4fh7cvjakz5dz, 100, XXX
kujira1vwv8pm0rn2u9wftmnlvvx8473cptnpdvrqc8fa, 36, XXX
kujira1v9hv0z2pn9k84g4ra2ulszgsvw8qtrypk4k4v7, 2, XXX
kujira1q09fhkl44nlhra8xc64smsew6sshehmngjd97l, 100, XXX
kujira1aukud43rdjdxh6lkvgtcnfq3wfra7jjmsmljsw, 1, XXX
kujira1m25cswlfxumuj395mvkv6xg9502jn94jzdfxgt, 100, XXX
kujira14cfyqlfy2dxqas9jmt6x95dfwf5rv6sfk9pk64, 330, XXX
kujira12jepd66e87n4gfw38azwv3zcfekejgcsuu9hrq, 204, XXX
kujira1ynx5j74nyjl4h8defje77vndnurl9up2xgf0jx, 101, XXX
kujira10kpcdjv9mj75cvvddj24lrl5tk25amsllj38xt, 3, XXX
kujira1musw957g39rrjxaymemxur2dyyxhmmzpxyg7yw, 104, XXX
kujira1xtjnzwmf6gadsmw555tyl8dz05pcp9fr9xf746, 99, XXX
kujira17nxf8725mwsjuarl0ynxnqthfsnwc74p8yfdgh, 1, XXX
kujira1c8ytgnfppn8z8672vtyc2pxv5u5d9vsw8e38l9, 100, XXX
kujira1hc6kkysu2kwx3ls0nhw29sw69wc9qx89c979z0, 99, XXX
kujira10j27mjxv706lkvmw8ewpcwa8ajp3srmjmqdtuk, 101, XXX
kujira1cp64e6pusu9aylpt7kvf9gyd7l0kpqjpmdnw07, 59, XXX
kujira1t55df4ey9gjdxfefw692xck45t8eycdpsvye6k, 10, XXX
kujira1jpz8wm76l32cs4aq25zx8r3ef9segan7rcy2gy, 102, XXX
kujira195z08s2qj0em8pzyyaqm5l29p0w9vrde4v0skn, 99, XXX
kujira1ucj4xmmq3ykgkw2halpf24h5n2awsu2txt0ln5, 139, XXX
kujira1vyr25fpz2httevfz65mgcrj2kaurw55mljwauu, 111, XXX
kujira1563zesutustafd3ec90q6ndke0y9dg53vlu634, 1, XXX
kujira12ncqyj4vvd7v424lmkzahzwxdgnfx8n3jg27qf, 104, XXX
kujira1k3gu4prsv6uzk2alt8f8w3uhyayqem2054wtm2, 4, XXX
kujira1n8gr2p44e84x22lqe0q88eg4n37wxcgpxy9l29, 99, XXX
kujira14kc7pmt50a3ju3g3kk6t5v3arrznrjfhzxfxeg, 1, XXX
kujira17rf9cg5l4hxrenwamqserttfm6z2well4fz32w, 100, XXX
kujira1pyp3lwlg28zntcpwq87spsjm2sdng32qulmxse, 4, XXX
kujira19y77vt252fu6cqxj2f0c90x3hyd0ty7ywvfpu6, 29, XXX
kujira190akndxuhvuuxp64hkl3nma9l78ay4fstv4kjs, 1, XXX
kujira1yw4v3atd8nghmnq8deh5q4yqmypj937cm8n26t, 6, XXX
kujira14z7pmlru62j5jrsxmq2rnz52vyw6wh7wrunyv4, 100, XXX
kujira1j2pjtp43yytc7wwlcmyghaf67cgscvkhwgm6m2, 1, XXX
kujira1p6w8yrzzfwm5y4j03esues7svu9a0e9lpylzg8, 3, XXX
kujira1pw4j58t52qe265q3j99h3fpgz5zkxej69v3glh, 184, XXX
kujira186e33yqr9n22pp0hj8wad0ye0j20ah5tjfpn2l, 1, XXX
